Id;Plaque;TYPE;;;;;
AF;Afrique;;;;;;
AP;Altiplano;;;;;;
NA;Amérique du Nord;;;;;;
SA;Amérique du Sud;;;;;;
AM;Amour;;;;;;
AT;Anatolie;;;;;;
ND;Andes du Nord;;;;;;
AN;Antarctique;;;;;;
AR;Arabie;;;;;;
AU;Australie;;;;;;
BH;Bird's Head;;;;;;
BU;Birmanie;;;;;;
NB;Bismarck Nord;;;;;;
SB;Bismarck Sud;;;;;;
CA;Caraïbes;;;;;;
CL;Carolines;;;;;;
CO;Cocos;Subduction;;;;;
EU;Eurasie;;;;;;
FT;Futuna;;;;;;
GP;Galápagos;;;;;;
EA;Île de Pâques;;;;;;
IN;Inde;;;;;;
JF;Juan de Fuca;Subduction;;;;;
JZ;Juan Fernández;;;;;;
KE;Kermadec;;;;;;
MN;Manus;;;;;;
MO;Maoke;;;;;;
MA;Mariannes;;;;;;
BS;Mer de Banda;;;;;;
MS;Mer des Moluques;;;;;;
SS;Mer des Salomon;;;;;;
AS;Mer Égée;;;;;;
NZ;Nazca;Subduction;;;;;
NI;Niuafo'ou;;;;;;
NH;Nouvelles-Hébrides;;;;;;
OK;Okhotsk;;;;;;
ON;Okinawa;;;;;;
PA;Pacifique;Subduction;;;;;
PM;Panama;;;;;;
PS;Philippines;;;;;;
BR;Récif Balmoral;;;;;;
CR;Récif Conway;;;;;;
RI;Rivera;;;;;;
SW;Sandwich;;;;;;
SC;Scotia;;;;;;
SL;Shetland;;;;;;
SO;Somalie;;;;;;
SU;Sonde;;;;;;
TI;Timor;;;;;;
TO;Tonga;;;;;;
WL;Woodlark;;;;;;
YA;Yangtzé;;;;;;
;;;;;;;
